	S004.3	S003.5	S004.1	S004.2	S005.3	S003.1	S001.1	S001.2	S003.3	S001.3	S002.1	S003.2	S005.4	S006.4	S006.5	S003.4	S005.5	S006.1	S006.2	S001.4	S001.5	S002.2	S002.3	S004.4	S006.3	S002.4	S002.5	S004.5	S005.1	S005.2
S002.1	0.621647198	0.616060574	0.635457937	0.641418495	0.636221486	0.620272011	0.621303553	0.668078773	0.660129182	0.563398797	0	0.553448682	0.690781384	0.658376574	0.661872138	0.658858425	0.644812824	0.621838087	0.666224889	0.696681012	0.663721971	0.601379858	0.638684622	0.661943836	0.755687852	0.735304411	0.598248075	0.62443155	0.643729775	0.626803407
S003.2	0.635291277	0.622239366	0.62737883	0.651014752	0.640640891	0.652821077	0.650050811	0.669654112	0.677586735	0.600527969	0.553448682	0	0.693541659	0.67087601	0.687401431	0.675862554	0.680230111	0.654963115	0.699002077	0.692131202	0.66368169	0.602327184	0.638737532	0.660565187	0.75196979	0.732966149	0.622362974	0.645462628	0.692457006	0.657140621
S005.4	0.693204732	0.653500407	0.663598265	0.622194752	0.649103314	0.674118923	0.661626086	0.687987131	0.700534608	0.644955458	0.690781384	0.693541659	0	0.573837773	0.551130271	0.683989669	0.689837813	0.673873452	0.649928542	0.645076909	0.618008677	0.692737341	0.730594132	0.722405977	0.688343662	0.700464703	0.690675397	0.710105143	0.731559702	0.687737389
S006.4	0.655776909	0.65709969	0.676426722	0.657154863	0.664498627	0.684468016	0.656286093	0.674067712	0.690856818	0.672738352	0.658376574	0.67087601	0.573837773	0	0.556764812	0.696683601	0.693130936	0.673852218	0.673471405	0.698701192	0.658481028	0.698636518	0.720186547	0.723222742	0.698732126	0.697072398	0.701776499	0.723780419	0.716619805	0.671066909
S006.5	0.676860556	0.649295736	0.65698343	0.639311329	0.643707974	0.655469662	0.658939618	0.691887665	0.694737984	0.648039898	0.661872138	0.687401431	0.551130271	0.556764812	0	0.700180178	0.699937436	0.679537709	0.665879069	0.658893495	0.642664084	0.680036191	0.72808059	0.718457432	0.689937933	0.693055585	0.692980379	0.696970689	0.711737506	0.673607151
S003.4	0.632363243	0.593226514	0.63729561	0.64479801	0.622971213	0.662694092	0.610794841	0.637283381	0.631126939	0.65860068	0.658858425	0.675862554	0.683989669	0.696683601	0.700180178	0	0.467983616	0.508572501	0.714257169	0.722817592	0.67178745	0.592868	0.623977905	0.610105512	0.774433558	0.748529789	0.628082234	0.615494432	0.639185363	0.615288891
S005.5	0.64210176	0.601051572	0.61713783	0.647187241	0.646532502	0.666813794	0.626405056	0.637288058	0.650485295	0.64759808	0.644812824	0.680230111	0.689837813	0.693130936	0.699937436	0.467983616	0	0.512803907	0.729768717	0.720893027	0.660666645	0.597386846	0.625436255	0.626621059	0.767014185	0.73921029	0.639727225	0.621552546	0.647196065	0.598420061
S006.1	0.63645922	0.596710842	0.621877389	0.611000095	0.618459681	0.637536517	0.630903969	0.624272641	0.63283032	0.642145085	0.621838087	0.654963115	0.673873452	0.673852218	0.679537709	0.508572501	0.512803907	0	0.69819524	0.705132965	0.644472294	0.584366006	0.616820479	0.619746367	0.747033448	0.721154523	0.61349093	0.601099791	0.65266114	0.603614871
S006.2	0.678949388	0.670157287	0.668832668	0.623393854	0.623703179	0.573631738	0.671236013	0.715396228	0.718124332	0.667843871	0.666224889	0.699002077	0.649928542	0.673471405	0.665879069	0.714257169	0.729768717	0.69819524	0	0.575217363	0.560642195	0.680035837	0.730714555	0.713681211	0.733584935	0.737214076	0.712430166	0.71874291	0.696578427	0.686882698
S001.4	0.705017267	0.665267859	0.65839774	0.581052271	0.603112494	0.599820877	0.67301953	0.718790182	0.720860372	0.650358416	0.696681012	0.692131202	0.645076909	0.698701192	0.658893495	0.722817592	0.720893027	0.705132965	0.575217363	0	0.556297406	0.695184127	0.733850434	0.727054998	0.725332587	0.734805103	0.719548676	0.70506084	0.731993318	0.687921689
S001.5	0.663543299	0.639418495	0.639281199	0.58138261	0.597674395	0.608319491	0.645693467	0.66375771	0.655824279	0.592866213	0.663721971	0.66368169	0.618008677	0.658481028	0.642664084	0.67178745	0.660666645	0.644472294	0.560642195	0.556297406	0	0.667245701	0.697135132	0.668161561	0.693410609	0.696874214	0.678144524	0.682073154	0.68929142	0.657617881
S002.2	0.621824226	0.594981042	0.598655525	0.62064719	0.598686504	0.627776237	0.621570423	0.629733927	0.62303732	0.609871953	0.601379858	0.602327184	0.692737341	0.698636518	0.680036191	0.592868	0.597386846	0.584366006	0.680035837	0.695184127	0.667245701	0	0.467505924	0.506422677	0.758178698	0.739494277	0.573269042	0.539870737	0.61250924	0.59957395
S002.3	0.65622778	0.60849734	0.63365256	0.636660498	0.621552585	0.659367275	0.636716335	0.653256312	0.635559711	0.643958958	0.638684622	0.638737532	0.730594132	0.720186547	0.72808059	0.623977905	0.625436255	0.616820479	0.730714555	0.733850434	0.697135132	0.467505924	0	0.477164275	0.775395576	0.738044046	0.611605516	0.601931301	0.619175091	0.611644222
S004.4	0.647880292	0.606071348	0.63656993	0.632126846	0.605130299	0.657940174	0.626798565	0.659465211	0.622427238	0.654754737	0.661943836	0.660565187	0.722405977	0.723222742	0.718457432	0.610105512	0.626621059	0.619746367	0.713681211	0.727054998	0.668161561	0.506422677	0.477164275	0	0.762296589	0.727829777	0.601791162	0.593447567	0.624250651	0.616170536
S006.3	0.74168101	0.708095182	0.728499099	0.706771872	0.698353064	0.743083019	0.688703619	0.705881291	0.724911318	0.714564117	0.755687852	0.75196979	0.688343662	0.698732126	0.689937933	0.774433558	0.767014185	0.747033448	0.733584935	0.725332587	0.693410609	0.758178698	0.775395576	0.762296589	0	0.574684192	0.767997095	0.776931048	0.725127607	0.70863363
S002.4	0.712280747	0.685229613	0.720243986	0.698714183	0.693523381	0.722891485	0.689945481	0.695878253	0.711700774	0.729177677	0.735304411	0.732966149	0.700464703	0.697072398	0.693055585	0.748529789	0.73921029	0.721154523	0.737214076	0.734805103	0.696874214	0.739494277	0.738044046	0.727829777	0.574684192	0	0.750366469	0.760404487	0.70549452	0.681371298
S002.5	0.633518927	0.605803983	0.644973516	0.634426914	0.620672949	0.662403739	0.620887612	0.641872381	0.623687132	0.635899898	0.598248075	0.622362974	0.690675397	0.701776499	0.692980379	0.628082234	0.639727225	0.61349093	0.712430166	0.719548676	0.678144524	0.573269042	0.611605516	0.601791162	0.767997095	0.750366469	0	0.543267402	0.660640558	0.636399586
S004.5	0.652082448	0.614544667	0.640021436	0.645978235	0.620568229	0.640579624	0.637892186	0.629274404	0.64466403	0.627097192	0.62443155	0.645462628	0.710105143	0.723780419	0.696970689	0.615494432	0.621552546	0.601099791	0.71874291	0.70506084	0.682073154	0.539870737	0.601931301	0.593447567	0.776931048	0.760404487	0.543267402	0	0.650392457	0.635539679
S005.1	0.65082913	0.611889604	0.653950621	0.643223378	0.625275242	0.641841034	0.593641988	0.615411186	0.56682689	0.67426218	0.643729775	0.692457006	0.731559702	0.716619805	0.711737506	0.639185363	0.647196065	0.65266114	0.696578427	0.731993318	0.68929142	0.61250924	0.619175091	0.624250651	0.725127607	0.70549452	0.660640558	0.650392457	0	0.468598063
S005.2	0.618690788	0.578503417	0.593543648	0.601318331	0.567941263	0.627433141	0.577378581	0.609361428	0.591412812	0.646021549	0.626803407	0.657140621	0.687737389	0.671066909	0.673607151	0.615288891	0.598420061	0.603614871	0.686882698	0.687921689	0.657617881	0.59957395	0.611644222	0.616170536	0.70863363	0.681371298	0.636399586	0.635539679	0.468598063	0
