StudyID.Timepoint	Timepoint	StudyID	dm_paired_value	dm_paired_value_reference	FarmLocation	FarmLocation_reference	PlotName	PlotName_reference	Sunlight	Sunlight_reference	Timepoint_reference	OutreachProgram	OutreachProgram_reference	FertilizerLBrand	FertilizerLBrand_reference	DailyWeatherOfficial	DailyWeatherOfficial_reference	ResponseMint	ResponseMint_reference	ENC_Timepoint_is_1_2	ENC_Timepoint_is_1_3	ENC_Timepoint_is_1_4	ENC_Timepoint_is_1_5	ENC_Timepoint_is_2_3	ENC_Timepoint_is_2_4	ENC_Timepoint_is_2_5	ENC_Timepoint_is_3_4	ENC_Timepoint_is_3_5	ENC_Timepoint_is_4_5	ENC_FarmLocation_is_Boulder_Boulder	ENC_FarmLocation_is_Farm2_Farm2	ENC_FarmLocation_reference_is_Boulder	ENC_FarmLocation_reference_is_Farm2	ENC_PlotName_is_P1_P1	ENC_PlotName_is_P2_P2	ENC_PlotName_is_P3_P3	ENC_PlotName_reference_is_P1	ENC_PlotName_reference_is_P2	ENC_PlotName_reference_is_P3	ENC_Sunlight_is_PartialSun_PartialSun	ENC_Sunlight_is_Shade_Shade	ENC_Sunlight_is_Sunny_Sunny	ENC_Sunlight_reference_is_PartialSun	ENC_Sunlight_reference_is_Shade	ENC_Sunlight_reference_is_Sunny	ENC_OutreachProgram_is_A_A	ENC_OutreachProgram_is_A_B	ENC_OutreachProgram_is_B_A	ENC_OutreachProgram_is_B_B	ENC_OutreachProgram_reference_is_A	ENC_OutreachProgram_reference_is_B	ENC_FertilizerLBrand_is_B1_B1	ENC_FertilizerLBrand_is_B1_B2	ENC_FertilizerLBrand_is_B2_B2	ENC_FertilizerLBrand_reference_is_B1	ENC_FertilizerLBrand_reference_is_B2	ENC_DailyWeatherOfficial_is_Microburst_Windy	ENC_DailyWeatherOfficial_is_Windy_Microburst	ENC_DailyWeatherOfficial_is_Windy_Windy	ENC_DailyWeatherOfficial_reference_is_Microburst	ENC_DailyWeatherOfficial_reference_is_Windy
S003_1_3	1_3	S003	0.67017603	0.67017603	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	1	A_A	A	B1_B2	B1	Windy_Windy	Windy	1000	450	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S003_1_4	1_4	S003	0.6626940920000001	0.6626940920000001	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	1	A_B	A	B1_B2	B1	Windy_Windy	Windy	2300	450	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S003_1_5	1_5	S003	0.622087579	0.622087579	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	1	A_B	A	B1_B2	B1	Windy_Microburst	Windy	3900	450	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1
S003_2_3	2_3	S003	0.677586735	0.677586735	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	2	B_A	B	B1_B2	B1	Windy_Windy	Windy	600	850	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1
S003_2_4	2_4	S003	0.6758625540000001	0.6758625540000001	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	2	B_B	B	B1_B2	B1	Windy_Windy	Windy	1900	850	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1
S003_2_5	2_5	S003	0.622239366	0.622239366	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	2	B_B	B	B1_B2	B1	Windy_Microburst	Windy	3500	850	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1
S003_3_4	3_4	S003	0.6311269389999999	0.6311269389999999	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	3	A_B	A	B2_B2	B2	Windy_Windy	Windy	1300	1450	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1
S003_3_5	3_5	S003	0.617732136	0.617732136	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	3	A_B	A	B2_B2	B2	Windy_Microburst	Windy	2900	1450	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1
S003_4_5	4_5	S003	0.593226514	0.593226514	Boulder_Boulder	Boulder	P3_P3	P3	Shade_Shade	Shade	4	B_B	B	B2_B2	B2	Windy_Microburst	Windy	1600	2750	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1
S004_1_2	1_2	S004	0.633910729	0.633910729	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	1	B_B	B	B1_B1	B1	Windy_Windy	Windy	300	550	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1
S004_1_3	1_3	S004	0.583481848	0.583481848	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	1	B_A	B	B1_B2	B1	Windy_Windy	Windy	900	550	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1
S004_1_4	1_4	S004	0.63656993	0.63656993	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	1	B_A	B	B1_B2	B1	Windy_Windy	Windy	2100	550	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1
S004_1_5	1_5	S004	0.640021436	0.640021436	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	1	B_B	B	B1_B2	B1	Windy_Windy	Windy	4600	550	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1
S004_2_3	2_3	S004	0.647016684	0.647016684	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	2	B_A	B	B1_B2	B1	Windy_Windy	Windy	600	850	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1
S004_2_4	2_4	S004	0.632126846	0.632126846	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	2	B_A	B	B1_B2	B1	Windy_Windy	Windy	1800	850	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1
S004_2_5	2_5	S004	0.645978235	0.645978235	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	2	B_B	B	B1_B2	B1	Windy_Windy	Windy	4300	850	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1
S004_3_4	3_4	S004	0.6478802920000001	0.6478802920000001	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	3	A_A	A	B2_B2	B2	Windy_Windy	Windy	1200	1450	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1
S004_3_5	3_5	S004	0.6520824479999999	0.6520824479999999	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	3	A_B	A	B2_B2	B2	Windy_Windy	Windy	3700	1450	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1
S004_4_5	4_5	S004	0.593447567	0.593447567	Farm2_Farm2	Farm2	P1_P1	P1	Sunny_Sunny	Sunny	4	A_B	A	B2_B2	B2	Windy_Windy	Windy	2500	2650	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1
S005_1_2	1_2	S005	0.46859806299999995	0.46859806299999995	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	1	A_A	A	B1_B1	B1	Windy_Windy	Windy	200	350	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1
S005_1_3	1_3	S005	0.6252752420000001	0.6252752420000001	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	1	A_A	A	B1_B2	B1	Windy_Microburst	Windy	-100	350	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1
S005_1_4	1_4	S005	0.731559702	0.731559702	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	1	A_A	A	B1_B2	B1	Windy_Windy	Windy	1500	350	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S005_1_5	1_5	S005	0.647196065	0.647196065	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	1	A_A	A	B1_B2	B1	Windy_Windy	Windy	3100	350	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S005_2_3	2_3	S005	0.5679412629999999	0.5679412629999999	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	2	A_A	A	B1_B2	B1	Windy_Microburst	Windy	-300	550	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1
S005_2_4	2_4	S005	0.687737389	0.687737389	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	2	A_A	A	B1_B2	B1	Windy_Windy	Windy	1300	550	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S005_2_5	2_5	S005	0.598420061	0.598420061	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	2	A_A	A	B1_B2	B1	Windy_Windy	Windy	2900	550	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S005_3_4	3_4	S005	0.649103314	0.649103314	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	3	A_A	A	B2_B2	B2	Microburst_Windy	Microburst	1600	250	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0
S005_3_5	3_5	S005	0.646532502	0.646532502	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	3	A_A	A	B2_B2	B2	Microburst_Windy	Microburst	3200	250	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0
S005_4_5	4_5	S005	0.689837813	0.689837813	Farm2_Farm2	Farm2	P2_P2	P2	PartialSun_PartialSun	PartialSun	4	A_A	A	B2_B2	B2	Windy_Windy	Windy	1600	1850	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1
S006_1_2	1_2	S006	0.69819524	0.69819524	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	1	A_A	A	B1_B1	B1	Windy_Windy	Windy	100	250	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1
S006_1_3	1_3	S006	0.7470334479999999	0.7470334479999999	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	1	A_A	A	B1_B2	B1	Windy_Windy	Windy	400	250	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S006_1_4	1_4	S006	0.673852218	0.673852218	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	1	A_A	A	B1_B2	B1	Windy_Microburst	Windy	0	250	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1
S006_1_5	1_5	S006	0.6795377090000001	0.6795377090000001	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	1	A_B	A	B1_B2	B1	Windy_Windy	Windy	1700	250	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S006_2_3	2_3	S006	0.733584935	0.733584935	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	2	A_A	A	B1_B2	B1	Windy_Windy	Windy	300	350	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S006_2_4	2_4	S006	0.673471405	0.673471405	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	2	A_A	A	B1_B2	B1	Windy_Microburst	Windy	-100	350	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1
S006_2_5	2_5	S006	0.6658790689999999	0.6658790689999999	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	2	A_B	A	B1_B2	B1	Windy_Windy	Windy	1600	350	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1
S006_3_4	3_4	S006	0.6987321259999999	0.6987321259999999	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	3	A_A	A	B2_B2	B2	Windy_Microburst	Windy	-400	650	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1
S006_3_5	3_5	S006	0.689937933	0.689937933	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	3	A_B	A	B2_B2	B2	Windy_Windy	Windy	1300	650	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1
S006_4_5	4_5	S006	0.556764812	0.556764812	Farm2_Farm2	Farm2	P3_P3	P3	Shade_Shade	Shade	4	A_B	A	B2_B2	B2	Microburst_Windy	Microburst	1700	250	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0
