"StudyID.Timepoint"	"Timepoint"	"StudyID"	"dm_paired_value"	"dm_paired_value_reference"	"FarmLocation"	"FarmLocation_reference"	"PlotName"	"PlotName_reference"	"Sunlight"	"Sunlight_reference"	"Timepoint_reference"	"OutreachProgram"	"OutreachProgram_reference"	"FertilizerLBrand"	"FertilizerLBrand_reference"	"DailyWeatherOfficial"	"DailyWeatherOfficial_reference"	"FertilizerCost"	"FertilizerCost_reference"	"ResponseMint"	"ResponseMint_reference"
"S004_2_3"	"2_3"	"S004"	0.647016684	0.647016684	"Farm2_Farm2"	"Farm2"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"2"	"B_A"	"B"	"B1_B2"	"B1"	"Windy_Windy"	"Windy"	50	130	600	850
"S004_3_4"	"3_4"	"S004"	0.647880292	0.647880292	"Farm2_Farm2"	"Farm2"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"3"	"A_A"	"A"	"B2_B2"	"B2"	"Windy_Windy"	"Windy"	50	180	1200	1450
"S004_4_5"	"4_5"	"S004"	0.593447567	0.593447567	"Farm2_Farm2"	"Farm2"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"4"	"A_B"	"A"	"B2_B2"	"B2"	"Windy_Windy"	"Windy"	50	230	2500	2650
"S005_1_2"	"1_2"	"S005"	0.468598063	0.468598063	"Farm2_Farm2"	"Farm2"	"P2_P2"	"P2"	"PartialSun_PartialSun"	"PartialSun"	"1"	"A_A"	"A"	"B1_B1"	"B1"	"Windy_Windy"	"Windy"	50	80	200	350
"S005_2_3"	"2_3"	"S005"	0.567941263	0.567941263	"Farm2_Farm2"	"Farm2"	"P2_P2"	"P2"	"PartialSun_PartialSun"	"PartialSun"	"2"	"A_A"	"A"	"B1_B2"	"B1"	"Windy_Microburst"	"Windy"	50	130	-300	550
"S005_3_4"	"3_4"	"S005"	0.649103314	0.649103314	"Farm2_Farm2"	"Farm2"	"P2_P2"	"P2"	"PartialSun_PartialSun"	"PartialSun"	"3"	"A_A"	"A"	"B2_B2"	"B2"	"Microburst_Windy"	"Microburst"	50	180	1600	250
"S005_4_5"	"4_5"	"S005"	0.689837813	0.689837813	"Farm2_Farm2"	"Farm2"	"P2_P2"	"P2"	"PartialSun_PartialSun"	"PartialSun"	"4"	"A_A"	"A"	"B2_B2"	"B2"	"Windy_Windy"	"Windy"	50	230	1600	1850
"S006_1_2"	"1_2"	"S006"	0.69819524	0.69819524	"Farm2_Farm2"	"Farm2"	"P3_P3"	"P3"	"Shade_Shade"	"Shade"	"1"	"A_A"	"A"	"B1_B1"	"B1"	"Windy_Windy"	"Windy"	50	80	100	250
"S006_2_3"	"2_3"	"S006"	0.733584935	0.733584935	"Farm2_Farm2"	"Farm2"	"P3_P3"	"P3"	"Shade_Shade"	"Shade"	"2"	"A_A"	"A"	"B1_B2"	"B1"	"Windy_Windy"	"Windy"	50	130	300	350
"S006_3_4"	"3_4"	"S006"	0.698732126	0.698732126	"Farm2_Farm2"	"Farm2"	"P3_P3"	"P3"	"Shade_Shade"	"Shade"	"3"	"A_A"	"A"	"B2_B2"	"B2"	"Windy_Microburst"	"Windy"	50	180	-400	650
"S006_4_5"	"4_5"	"S006"	0.556764812	0.556764812	"Farm2_Farm2"	"Farm2"	"P3_P3"	"P3"	"Shade_Shade"	"Shade"	"4"	"A_B"	"A"	"B2_B2"	"B2"	"Microburst_Windy"	"Microburst"	50	230	1700	250
